start,end,title,color,image
2024-10-06,2024-10-06,Family Beach Day,#FFE680,event_photos/family_beach_day_oct_6.jpeg
2024-10-19,2024-10-19,Evening swim & comet viewing,#8080FF,event_photos/night_swim.webp
2024-10-20,2024-10-20,Start Using Couples' Connection App(s),#FF80E5,event_photos/apps.webp
2024-10-26,2024-10-30,Halloween Together,#FFB380,event_photos/halloween.webp
2024-11-02,2024-11-02,Shopping for Jason's Style,#80B3FF,event_photos/shopping.webp
2024-11-09,2024-11-09,Dinner & Full-Body Coconut Oil Massage,#80FF80,event_photos/massage.webp
2024-11-16,2024-11-16,Open emotional intimacy with tantra,#FF8080,event_photos/tantra.webp
2024-11-24,2024-11-24,Anniversary of first Date,#E680FF,event_photos/1st_date.webp
2024-12-06,2024-12-07,Date: Noémi's Choice,#80FFB3,event_photos/date_1.jpeg
2024-12-18,2024-12-18,Celebrate Noémi's Birthday,#FF80E5,event_photos/birthday_noemi.jpeg
2024-12-25,2024-12-25,Christmas Together,#B3FF80,event_photos/christmas.jpeg
2024-12-28,2025-01-04,Hawaiian Islands Cruise,#80E5FF,event_photos/cruise.webp
2025-01-01,2025-01-01,New Marriage Proposal with diamond ring,#E5FF80,event_photos/proposal.webp
2025-01-05,2025-01-09,New Furniture & Decor or Apartment,#80FFE5,event_photos/furniture_shopping.webp
2025-01-10,2025-02-28,Make a Baby,#FF80B3,event_photos/pregnant_1.jpg
2025-05-28,2025-06-17,Wedding & 2nd Honeymoon in Marquesas,#B280FF,event_photos/marquesas_honeymoon.webp
2025-06-02,2025-06-02,Renewal of Vows Wedding Ceremony,#FFE680,event_photos/marquesas_wedding.jpg
2025-10-10,2025-11-28,1st Baby Due,#8080FF,event_photos/baby_1.jpg
2025-11-21,2025-12-31,Make a Baby,#80B3FF,event_photos/pregnant_2.jpg
2025-12-18,2025-12-18,Celebrate Noémi's 40th Birthday,#FF8080,event_photos/noemi_40.jpg
2026-06-01,2026-06-01,Noémi's Graduation,#FFB380,event_photos/graduation.jpg
2026-08-21,2026-10-01,2nd Baby Due,#80FF80,event_photos/baby_2.jpg
2026-09-01,2026-12-30,Buy a House Together,#80E5FF,event_photos/home.webp
